[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.844785009] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.849840388] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.876179227] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.880585658] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.907829816] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.910505233] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.935152431] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.940178061] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.969571185] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.972529514] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.010214301] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.016879947] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.042319591] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.045956618] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.081415147] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.087498344] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.124231146] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.128240333] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.154462799] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
